DateTime,Observed_QM,TOPKAPI_Q,Residual_LSTM_Prediction,Residual
2024-01-24 15:00:00,0.53,0.65,0.8393935650587082,0.18939357
2024-01-24 16:00:00,0.53,0.65,0.842044660449028,0.19204466
2024-01-24 17:00:00,0.53,0.65,0.8433512687683106,0.19335127
2024-01-24 18:00:00,0.53,0.65,0.8432944655418396,0.19329447
2024-01-24 19:00:00,0.53,0.65,0.8491268694400788,0.19912687
2024-01-24 20:00:00,0.53,0.65,0.8448851197957993,0.19488512
2024-01-24 21:00:00,0.53,0.65,0.8405865520238877,0.19058655
2024-01-24 22:00:00,0.53,0.65,0.8373957663774491,0.18739577
2024-01-24 23:00:00,0.53,0.64,0.8240534955263138,0.1840535
2024-01-25 00:00:00,0.5,0.64,0.8294882470369339,0.18948825
2024-01-25 01:00:00,0.53,0.64,0.8261743777990341,0.18617438
2024-01-25 02:00:00,0.53,0.64,0.8319499784708023,0.19194998
2024-01-25 03:00:00,0.53,0.64,0.8365325772762299,0.19653258
2024-01-25 04:00:00,0.5,0.64,0.839032187461853,0.19903219
2024-01-25 05:00:00,0.5,0.64,0.832044660449028,0.19204466
2024-01-25 06:00:00,0.5,0.64,0.8260323548316956,0.18603235
2024-01-25 07:00:00,0.5,0.64,0.8308327341079712,0.19083273
2024-01-25 08:00:00,0.53,0.64,0.8261838400363922,0.18618384
2024-01-25 09:00:00,0.53,0.64,0.8302078241109848,0.19020782
2024-01-25 10:00:00,0.5,0.63,0.8154358613491058,0.18543586
2024-01-25 11:00:00,0.48,0.63,0.8146405267715454,0.18464053
2024-01-25 12:00:00,0.48,0.63,0.8221582818031311,0.19215828
2024-01-25 13:00:00,0.48,0.63,0.8186361092329025,0.18863611
2024-01-25 14:00:00,0.48,0.63,0.8156346875429153,0.18563469
2024-01-25 15:00:00,0.5,0.63,0.8132486987113953,0.1832487
2024-01-25 16:00:00,0.48,0.63,0.811345596909523,0.1813456
2024-01-25 17:00:00,0.45,0.63,0.8103892999887466,0.1803893
2024-01-25 18:00:00,0.42,0.63,0.818001736998558,0.18800174
2024-01-25 19:00:00,0.48,0.63,0.8150003153085709,0.18500032
2024-01-25 20:00:00,0.5,0.62,0.8036937069892883,0.1836937
2024-01-25 21:00:00,0.5,0.62,0.8045079660415649,0.18450797
2024-01-25 22:00:00,0.5,0.62,0.8060039532184601,0.18600395
2024-01-25 23:00:00,0.48,0.62,0.8066761893033981,0.18667619
2024-01-26 00:00:00,0.5,0.62,0.8064110827445984,0.18641108
2024-01-26 01:00:00,0.5,0.62,0.8052464973926544,0.1852465
2024-01-26 02:00:00,0.5,0.62,0.8034380626678467,0.18343806
2024-01-26 03:00:00,0.5,0.62,0.8016296428442001,0.18162964
2024-01-26 04:00:00,0.5,0.62,0.7992909950017929,0.179291
2024-01-26 05:00:00,0.5,0.61,0.786365315914154,0.17636532
2024-01-26 06:00:00,0.5,0.61,0.7829283630847931,0.17292836
2024-01-26 07:00:00,0.5,0.61,0.7798417365550995,0.16984174
2024-01-26 08:00:00,0.5,0.61,0.7846799796819687,0.17467998
2024-01-26 09:00:00,0.5,0.61,0.785191268324852,0.17519127
2024-01-26 10:00:00,0.5,0.61,0.7828620827198028,0.17286208
2024-01-26 11:00:00,0.48,0.61,0.7801352447271347,0.17013524
2024-01-26 12:00:00,0.45,0.61,0.7781658625602722,0.16816586
2024-01-26 13:00:00,0.45,0.61,0.770723865032196,0.16072387
2024-01-26 14:00:00,0.45,0.61,0.7666241234540939,0.15662412
2024-01-26 15:00:00,0.48,0.61,0.765734121799469,0.15573412
2024-01-26 16:00:00,0.48,0.61,0.7659802889823913,0.15598029
2024-01-26 17:00:00,0.48,0.61,0.7661980545520782,0.15619805
2024-01-26 18:00:00,0.48,0.61,0.7740945374965668,0.16409454
2024-01-26 19:00:00,0.5,0.61,0.7723523831367493,0.16235238
2024-01-26 20:00:00,0.45,0.61,0.770392478108406,0.16039248
2024-01-26 21:00:00,0.42,0.61,0.7687071269750595,0.15870713
2024-01-26 22:00:00,0.42,0.61,0.775827214717865,0.16582721
2024-01-26 23:00:00,0.42,0.6,0.7636211276054382,0.16362113
2024-01-27 00:00:00,0.42,0.6,0.7612067371606827,0.16120674
2024-01-27 01:00:00,0.42,0.6,0.7672190427780151,0.16721904
